name,domain,category,description,cool_fact,url,reviewed_on_solosgems,pricing,date_added
10Web,10web.io,Website & App Builders,AI WordPress website builder and managed hosting bundled into one platform.,Can rebuild an existing website's layout and content automatically just from its URL.,https://10web.io/,False,unlisted,2026-08-01
Adobe Firefly,firefly.adobe.com,Image Generation,"Adobe's AI image and design generator, built into Photoshop, Illustrator, and Express.","Trained specifically on licensed and public-domain content, positioned as safer for commercial use.",https://firefly.adobe.com/,False,unlisted,2026-08-01
Ahrefs,ahrefs.com,SEO,"A comprehensive SEO platform with AI content grading and search-intent tools, from $29/month for the Starter plan. No free plan, only a trial.",Its backlink index is large enough that competitors routinely cite Ahrefs' own crawl data as an industry benchmark for link data freshness.,https://ahrefs.com/,False,paid,2026-08-08
AI2SQL,ai2sql.io,No-code / Database,Turns plain-English requests into working SQL queries across 10+ database dialects.,"Connects to your actual database schema, so the generated queries reference real table and column names, not guesses.",https://ai2sql.io/,False,unlisted,2026-08-01
Airtable,airtable.com,No-code / Database,A spreadsheet-database hybrid with AI credits for generating interfaces and automations from your own data.,"The free tier (1,000 records/base, 500 AI credits/editor) genuinely covers most solo use cases before you'd need to upgrade.",https://solosgems.com/reviews/airtable.html,True,free,2026-08-01
AIVA,aiva.ai,Voice & Music,"AI music composition built for scoring original soundtracks, from film cues to game music.",Was recognized as the first AI to be officially registered as a composer with a music rights society.,https://www.aiva.ai/,False,unlisted,2026-08-01
AltText.ai,alttext.ai,Accessibility,"Generates descriptive alt text for images automatically, plugging into WordPress, Shopify, and other CMSs.",Understands context well enough to describe a product photo differently than an editorial or decorative image.,https://alttext.ai/,False,unlisted,2026-08-01
Amazon Q Developer,aws.amazon.com,Coding & Dev Tools,"AWS's AI coding assistant, built specifically for writing and reasoning about cloud infrastructure code.","Can trace a bug or cost spike back through your actual AWS account resources, not just your codebase.",https://aws.amazon.com/q/developer/,False,unlisted,2026-08-01
Anara,anara.com,Research & Knowledge,"An AI research assistant for reading, summarizing, and citing academic papers, with direct search across PubMed, arXiv, and JSTOR.","Rebranded from Unriddle AI in 2025 and is now used by more than 3 million researchers, including people at Stanford, MIT, and Johns Hopkins.",https://solosgems.com/reviews/anara.html,True,unlisted,2026-08-16
Apollo.io,apollo.io,Sales & Prospecting,"AI-assisted lead sourcing and outreach sequencing, from $49/user/month.",Combines a large contact database and outreach automation in one platform.,https://solosgems.com/reviews/apollo-io.html,True,paid,2026-08-01
Astra Security,getastra.com,Cybersecurity,AI-assisted vulnerability scanning and penetration testing built to be accessible for smaller teams.,"Combines automated scanning with real human pentesters reviewing the flagged results, not just an automated report.",https://www.getastra.com/,False,unlisted,2026-08-01
Async,async.com,Podcasting & Video Editing,"A browser-based podcast and video studio combining remote recording, multi-track editing, AI noise cleanup, and voice cloning in one platform.","Rebranded from Podcastle to Async in February 2026 as the platform expanded from podcasting into video and code-enabled workflows, existing accounts and pricing carried over unchanged.",https://async.com/,False,unlisted,2026-08-16
Attio,attio.com,CRM & Client Management,"A flexible, data-first CRM with AI features built into every plan, including a free tier for up to 3 users, or $29/seat/month for Plus.","Unlike most CRMs that gate AI behind the priciest tier, Attio includes AI research and enrichment on its free plan too, just with lower usage limits.",https://attio.com/,False,free,2026-08-08
Auphonic,auphonic.com,Podcasting & Video Editing,"AI audio post-production that automatically levels, cleans up noise, and masters podcast episodes.","Normalizes multiple speakers recorded at different volumes into one consistent, broadcast-ready level automatically.",https://auphonic.com/,False,unlisted,2026-08-01
Beautiful.ai,beautiful.ai,Presentations & Design,An AI-assisted slide deck tool where the layout automatically adjusts itself as you add content.,"Slides re-flow and resize automatically when edited, so it's hard to accidentally break the design.",https://www.beautiful.ai/,False,unlisted,2026-08-01
